"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8460","should navigate through footer links from solutions @regression @navigation","chromium","2026-04-23","passed","2026-04-23","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","2843","should submit contact form through mocked endpoint @regression @forms @critical","chromium","2026-04-23","passed","2026-04-23","Contact form","regression/forms/contact-form.spec.ts","",""
"","192","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-04-23","skipped","2026-04-23","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","4614","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-04-23","passed","2026-04-23","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3367","should expose external links with secure new-tab attributes @regression @navigation","chromium","2026-04-23","passed","2026-04-23","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","248","should expose canonical and social metadata on solutions @regression","chromium","2026-04-23","skipped","2026-04-23","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3703","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-04-23","failed","2026-04-23","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","23901","should resolve every discovered internal route without 4xx/5xx @regression @critical","chromium","2026-04-23","passed","2026-04-23","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","3711","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-04-23","failed","2026-04-23","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","10895","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-04-23","passed","2026-04-23","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3828","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-04-23","passed","2026-04-23","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","1999","should reject invalid email format before submission @regression @forms","chromium","2026-04-23","passed","2026-04-23","Contact form","regression/forms/contact-form.spec.ts","",""
