"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2864","should expose canonical and social metadata on home @regression","chromium","2026-05-18","failed","2026-05-18","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","10924","should navigate through header links from contact-us @regression @navigation @critical","chromium","2026-05-18","passed","2026-05-18","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","4734","should satisfy baseline accessibility checks on isotope-producers-radiopharmacies @regression @content","chromium","2026-05-18","passed","2026-05-18","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3891","solutions hub should route to isotope-producers-radiopharmacies persona page @regression @critical @navigation","chromium","2026-05-18","passed","2026-05-18","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3159","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-05-18","failed","2026-05-18","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3021","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-05-18","passed","2026-05-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3630","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-05-18","passed","2026-05-18","","regression/pages/home.page.spec.ts","",""
"","3789","should load drug owners developers page with correct title and heading @smoke @regression @critical","chromium","2026-05-18","passed","2026-05-18","","regression/pages/drug-owners-developers.page.spec.ts","",""
"","2739","should expose external links with secure new-tab attributes @regression @navigation","chromium","2026-05-18","passed","2026-05-18","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","3909","route contract should hold for /health-physics-radiation-protection @regression @navigation","chromium","2026-05-18","passed","2026-05-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3197","should load every image on hospitals-clinical-sites after scroll @regression @content @critical","chromium","2026-05-18","passed","2026-05-18","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","8520","should navigate through header links from home @regression @navigation @critical","chromium","2026-05-18","passed","2026-05-18","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3187","should load every image on contact-us after scroll @regression @content @critical","chromium","2026-05-18","passed","2026-05-18","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3071","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-05-18","failed","2026-05-18","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3683","route contract should hold for /lab-equipment-accessories @regression @navigation","chromium","2026-05-18","passed","2026-05-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11501","should resolve known anchor links without broken targets @regression","chromium","2026-05-18","passed","2026-05-18","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","4271","solutions hub should route to drug-owners-developers persona page @regression @critical @navigation","chromium","2026-05-18","passed","2026-05-18","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","1956","should reject invalid email format before submission @regression @forms","chromium","2026-05-18","passed","2026-05-18","Contact form","regression/forms/contact-form.spec.ts","",""
