"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","should render contact-us page without horizontal overflow @regression","chromium","2026-04-22","skipped","2026-04-22","Mobile rendering checks > mobile layout contracts","regression/pages/mobile-rendering.spec.ts","",""
"","4481","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","4413","should satisfy baseline accessibility checks on isotope-producers-radiopharmacies @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","5542","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","10261","should resolve known anchor links without broken targets @regression","chromium","2026-04-22","passed","2026-04-22","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","8177","should navigate through header links from solutions @regression @navigation @critical","chromium","2026-04-22","passed","2026-04-22","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","5599","should navigate through footer links from hospitals-clinical-sites @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3583","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","2765","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","passed","2026-04-22","","regression/pages/home.page.spec.ts","",""
"","1999","should expose canonical and social metadata on contact-us @regression","chromium","2026-04-22","failed","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","1918","should load every image on home after scroll @regression @content @critical","chromium","2026-04-22","passed","2026-04-22","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","2483","should return to home when clicking site logo @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","15928","should resolve every discovered internal route without 4xx/5xx @regression @critical","chromium","2026-04-22","passed","2026-04-22","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","5480","should navigate through footer links from contact-us @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
