"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3141","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3083","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-07-07","failed","2026-07-07","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3154","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-07-07","failed","2026-07-07","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","4349","should load solutions page with correct title and heading @smoke @regression @critical","chromium","2026-07-07","passed","2026-07-07","","regression/pages/solutions.page.spec.ts","",""
"","11267","should resolve known anchor links without broken targets @regression","chromium","2026-07-07","passed","2026-07-07","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","3316","should expose canonical and social metadata on about-us @regression","chromium","2026-07-07","failed","2026-07-07","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3033","should load every image on home after scroll @regression @content @critical","chromium","2026-07-07","passed","2026-07-07","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","1615","should keep identity fields isolated while users fill contact data @regression @forms","chromium","2026-07-07","passed","2026-07-07","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","3883","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-07-07","passed","2026-07-07","","regression/pages/home.page.spec.ts","",""
"","4588","home CTA should route users to solutions hub @regression @critical @navigation","chromium","2026-07-07","passed","2026-07-07","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3513","route contract should hold for /about-us @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3802","route contract should hold for /safe-isotope-shipping-class-7-transport @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","5049","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-07-07","passed","2026-07-07","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","7147","should navigate through footer links from about-us @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3009","should expose canonical and social metadata on home @regression","chromium","2026-07-07","failed","2026-07-07","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3293","route contract should hold for /manufacturing-compliance @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3733","solutions hub should route to isotope-producers-radiopharmacies persona page @regression @critical @navigation","chromium","2026-07-07","passed","2026-07-07","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3290","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-07-07","failed","2026-07-07","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","10109","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-07-07","passed","2026-07-07","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","1260","staging root is reachable","chromium","2026-07-07","passed","2026-07-07","Smoke checks @allure.label.epic:Platform @allure.label.feature:Smoke","smoke/home.smoke.spec.ts","",""
"","4214","should satisfy baseline accessibility checks on home @regression @content","chromium","2026-07-07","passed","2026-07-07","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3450","should load every image on about-us after scroll @regression @content @critical","chromium","2026-07-07","passed","2026-07-07","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3818","should load contact us page with correct title and heading @smoke @regression @critical","chromium","2026-07-07","passed","2026-07-07","","regression/pages/contact-us.page.spec.ts","",""
"","3214","should load every image on isotope-producers-radiopharmacies after scroll @regression @content @critical","chromium","2026-07-07","passed","2026-07-07","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3261","should expose external links with secure new-tab attributes @regression @navigation","chromium","2026-07-07","passed","2026-07-07","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","3286","route contract should hold for /shielding-shipping-waste-management @regression @navigation","chromium","2026-07-07","passed","2026-07-07","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3895","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-07-07","passed","2026-07-07","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","9054","should navigate through header links from home @regression @navigation @critical","chromium","2026-07-07","passed","2026-07-07","Header navigation","regression/navigation/header-navigation.spec.ts","",""
