"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3840","route contract should hold for /precise-assays-and-calibration @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10059","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3008","route contract should hold for /contact-us @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","5751","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-05-09","passed","2026-05-09","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","6990","should navigate through footer links from about-us @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3795","route contract should hold for /solutions @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","9443","should navigate through header links from hospitals-clinical-sites @regression @navigation @critical","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3303","route contract should hold for /about-us @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","9743","should navigate through header links from contact-us @regression @navigation @critical","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3141","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3728","route contract should hold for /radiation-shielding-safety-systems @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","9681","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3581","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-05-09","failed","2026-05-09","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3247","route contract should hold for /hospitals-clinical-sites @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","4959","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3716","route contract should hold for /health-physics-radiation-protection @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3793","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-05-09","passed","2026-05-09","","regression/pages/home.page.spec.ts","",""
"","4098","solutions hub should route to drug-owners-developers persona page @regression @critical @navigation","chromium","2026-05-09","passed","2026-05-09","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","4130","solutions hub should route to isotope-producers-radiopharmacies persona page @regression @critical @navigation","chromium","2026-05-09","passed","2026-05-09","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3156","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-05-09","failed","2026-05-09","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3648","route contract should hold for /radiation-monitoring-and-dosimetry @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3829","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-05-09","passed","2026-05-09","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3754","route contract should hold for /shielding-shipping-waste-management @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3444","should load every image on hospitals-clinical-sites after scroll @regression @content @critical","chromium","2026-05-09","passed","2026-05-09","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3921","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-05-09","passed","2026-05-09","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","2977","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-05-09","failed","2026-05-09","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","2754","should resolve documented external links or mark bot-blocked statuses @regression @critical","chromium","2026-05-09","passed","2026-05-09","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","3700","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-05-09","passed","2026-05-09","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","2876","should load every image on about-us after scroll @regression @content @critical","chromium","2026-05-09","passed","2026-05-09","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","1332","should reject invalid email format before submission @regression @forms","chromium","2026-05-09","passed","2026-05-09","Contact form","regression/forms/contact-form.spec.ts","",""
"","4588","should satisfy baseline accessibility checks on home @regression @content","chromium","2026-05-09","passed","2026-05-09","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","10006","desktop header solutions menu should expose all persona destinations @regression @critical @navigation","chromium","2026-05-09","passed","2026-05-09","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3389","should expose canonical and social metadata on solutions @regression","chromium","2026-05-09","failed","2026-05-09","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","4067","solutions hub should route to hospitals-clinical-sites persona page @regression @critical @navigation","chromium","2026-05-09","passed","2026-05-09","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","11519","should resolve known anchor links without broken targets @regression","chromium","2026-05-09","passed","2026-05-09","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","3147","route contract should hold for /isotope-producers-radiopharmacies @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3918","should load about us page with correct title and heading @smoke @regression @critical","chromium","2026-05-09","passed","2026-05-09","","regression/pages/about-us.page.spec.ts","",""
"","3719","route contract should hold for /lab-equipment-accessories @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","5667","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-05-09","passed","2026-05-09","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","8855","should navigate through header links from home @regression @navigation @critical","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","7075","should navigate through footer links from hospitals-clinical-sites @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3541","should return to home when clicking site logo @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","930","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-05-09","passed","2026-05-09","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","7091","should navigate through footer links from contact-us @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3965","home CTA should route users to solutions hub @regression @critical @navigation","chromium","2026-05-09","passed","2026-05-09","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","6582","should navigate through footer links from home @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3061","should expose canonical and social metadata on home @regression","chromium","2026-05-09","failed","2026-05-09","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3423","route contract should hold for /management-platform @regression @navigation","chromium","2026-05-09","passed","2026-05-09","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
