"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3017","should expose canonical and social metadata on home @regression","chromium","2026-07-20","failed","2026-07-20","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3483","should load every image on about-us after scroll @regression @content @critical","chromium","2026-07-20","passed","2026-07-20","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","8600","should navigate through header links from home @regression @navigation @critical","chromium","2026-07-20","passed","2026-07-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","2786","route contract should hold for / @regression @navigation","chromium","2026-07-20","passed","2026-07-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","6777","should navigate through footer links from home @regression @navigation","chromium","2026-07-20","passed","2026-07-20","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","4651","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-07-20","passed","2026-07-20","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3339","route contract should hold for /radiation-shielding-safety-systems @regression @navigation","chromium","2026-07-20","passed","2026-07-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3536","should load every image on isotope-producers-radiopharmacies after scroll @regression @content @critical","chromium","2026-07-20","passed","2026-07-20","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3695","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-07-20","failed","2026-07-20","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11315","should navigate through header links from hospitals-clinical-sites @regression @navigation @critical","chromium","2026-07-20","passed","2026-07-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","10667","should navigate through header links from drug-owners-developers @regression @navigation @critical","chromium","2026-07-20","passed","2026-07-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","10239","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-07-20","passed","2026-07-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","2705","should resolve documented external links or mark bot-blocked statuses @regression @critical","chromium","2026-07-20","passed","2026-07-20","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","1335","should keep identity fields isolated while users fill contact data @regression @forms","chromium","2026-07-20","passed","2026-07-20","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","3575","route contract should hold for /about-us @regression @navigation","chromium","2026-07-20","passed","2026-07-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","4350","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-07-20","passed","2026-07-20","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","1018","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-07-20","passed","2026-07-20","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
