"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3136","route contract should hold for /health-physics-radiation-protection @regression @navigation","chromium","2026-04-27","passed","2026-04-27","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3067","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-04-27","failed","2026-04-27","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3193","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-04-27","passed","2026-04-27","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3225","should expose canonical and social metadata on contact-us @regression","chromium","2026-04-27","failed","2026-04-27","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3874","solutions hub should route to drug-owners-developers persona page @regression @critical @navigation","chromium","2026-04-27","passed","2026-04-27","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3521","should expose canonical and social metadata on home @regression","chromium","2026-04-27","failed","2026-04-27","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","1401","should enforce required-field validation on contact form @regression @forms @critical","chromium","2026-04-27","passed","2026-04-27","Contact form","regression/forms/contact-form.spec.ts","",""
"","9010","should navigate through footer links from contact-us @regression @navigation","chromium","2026-04-27","passed","2026-04-27","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3182","route contract should hold for /about-us @regression @navigation","chromium","2026-04-27","passed","2026-04-27","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3276","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-04-27","passed","2026-04-27","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3216","should load every image on hospitals-clinical-sites after scroll @regression @content @critical","chromium","2026-04-27","passed","2026-04-27","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3788","should load about us page with correct title and heading @smoke @regression @critical","chromium","2026-04-27","passed","2026-04-27","","regression/pages/about-us.page.spec.ts","",""
"","8159","should navigate through header links from home @regression @navigation @critical","chromium","2026-04-27","passed","2026-04-27","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3560","route contract should hold for /manufacturing-compliance @regression @navigation","chromium","2026-04-27","passed","2026-04-27","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
