"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3497","route contract should hold for /contact-us @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3656","route contract should hold for /management-platform @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10474","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-05-08","passed","2026-05-08","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","10032","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-05-08","passed","2026-05-08","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","8529","should navigate through footer links from about-us @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","8225","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3469","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3661","should expose canonical and social metadata on about-us @regression","chromium","2026-05-08","failed","2026-05-08","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","4126","route contract should hold for /about-us @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","4190","solutions hub should route to isotope-producers-radiopharmacies persona page @regression @critical @navigation","chromium","2026-05-08","passed","2026-05-08","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3415","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-05-08","passed","2026-05-08","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10173","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-05-08","passed","2026-05-08","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","1635","should reject invalid email format before submission @regression @forms","chromium","2026-05-08","passed","2026-05-08","Contact form","regression/forms/contact-form.spec.ts","",""
