"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3613","should load every image on solutions after scroll @regression @content @critical","chromium","2026-07-06","passed","2026-07-06","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3671","route contract should hold for /management-platform @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","939","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-07-06","passed","2026-07-06","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","8795","should navigate through header links from home @regression @navigation @critical","chromium","2026-07-06","passed","2026-07-06","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","4369","should load isotope producers radiopharmacies page with correct title and heading @smoke @regression @critical","chromium","2026-07-06","passed","2026-07-06","","regression/pages/isotope-producers-radiopharmacies.page.spec.ts","",""
"","3019","route contract should hold for / @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","5190","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-07-06","passed","2026-07-06","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3435","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-07-06","failed","2026-07-06","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3961","route contract should hold for /spectroscopy-scientific-analysis @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","7971","should navigate through footer links from isotope-producers-radiopharmacies @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","10238","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-07-06","passed","2026-07-06","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3792","route contract should hold for /radiation-shielding-safety-systems @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","4161","should load about us page with correct title and heading @smoke @regression @critical","chromium","2026-07-06","passed","2026-07-06","","regression/pages/about-us.page.spec.ts","",""
"","1224","staging root is reachable","chromium","2026-07-06","passed","2026-07-06","Smoke checks @allure.label.epic:Platform @allure.label.feature:Smoke","smoke/home.smoke.spec.ts","",""
"","3447","route contract should hold for /hospitals-clinical-sites @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","4095","should load drug owners developers page with correct title and heading @smoke @regression @critical","chromium","2026-07-06","passed","2026-07-06","","regression/pages/drug-owners-developers.page.spec.ts","",""
"","3978","route contract should hold for /safe-isotope-shipping-class-7-transport @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10052","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-07-06","passed","2026-07-06","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3628","should expose canonical and social metadata on solutions @regression","chromium","2026-07-06","failed","2026-07-06","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","6750","should navigate through footer links from home @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","4681","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-07-06","passed","2026-07-06","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","3553","should return to home when clicking site logo @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3171","should expose canonical and social metadata on home @regression","chromium","2026-07-06","failed","2026-07-06","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3421","should load every image on about-us after scroll @regression @content @critical","chromium","2026-07-06","passed","2026-07-06","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3618","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-07-06","passed","2026-07-06","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3986","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-07-06","passed","2026-07-06","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","4057","route contract should hold for /contact-us @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3433","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-07-06","failed","2026-07-06","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3787","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10359","should navigate through header links from hospitals-clinical-sites @regression @navigation @critical","chromium","2026-07-06","passed","2026-07-06","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3469","route contract should hold for /about-us @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","5127","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-07-06","passed","2026-07-06","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","4575","home CTA should route users to solutions hub @regression @critical @navigation","chromium","2026-07-06","passed","2026-07-06","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","4318","solutions hub should route to isotope-producers-radiopharmacies persona page @regression @critical @navigation","chromium","2026-07-06","passed","2026-07-06","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3855","route contract should hold for /dose-preparation-delivery @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3462","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3835","route contract should hold for /solutions @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","7397","should navigate through footer links from about-us @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3933","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-07-06","failed","2026-07-06","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","4006","route contract should hold for /precise-assays-and-calibration @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3997","route contract should hold for /health-physics-radiation-protection @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","8786","should navigate through footer links from contact-us @regression @navigation","chromium","2026-07-06","passed","2026-07-06","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
