"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3378","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3450","route contract should hold for /dose-preparation-delivery @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3373","route contract should hold for /lab-equipment-accessories @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","12427","should navigate through header links from drug-owners-developers @regression @navigation @critical","chromium","2026-05-20","passed","2026-05-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","2790","route contract should hold for / @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","9523","should navigate through header links from hospitals-clinical-sites @regression @navigation @critical","chromium","2026-05-20","passed","2026-05-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","9809","should navigate through header links from solutions @regression @navigation @critical","chromium","2026-05-20","passed","2026-05-20","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","2589","should resolve documented external links or mark bot-blocked statuses @regression @critical","chromium","2026-05-20","passed","2026-05-20","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","952","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-05-20","passed","2026-05-20","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","3202","route contract should hold for /radiation-monitoring-and-dosimetry @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3092","should expose canonical and social metadata on about-us @regression","chromium","2026-05-20","failed","2026-05-20","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3996","solutions hub should route to hospitals-clinical-sites persona page @regression @critical @navigation","chromium","2026-05-20","passed","2026-05-20","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","3746","route contract should hold for /manufacturing-compliance @regression @navigation","chromium","2026-05-20","passed","2026-05-20","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","3812","should not emit invalid captcha key errors when attempting consultation submission @regression @forms @critical","chromium","2026-05-20","passed","2026-05-20","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
