"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","320","route contract should hold for /management-platform @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11329","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-07-31","failed","2026-07-31","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","290","route contract should hold for /transparency-data-visibility-platforms @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11305","solutions hub should route to hospitals-clinical-sites persona page @regression @critical @navigation","chromium","2026-07-31","failed","2026-07-31","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","11281","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-07-31","failed","2026-07-31","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","777","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-07-31","passed","2026-07-31","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","792","should expose external links with secure new-tab attributes @regression @navigation","chromium","2026-07-31","passed","2026-07-31","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","744","should load every image on isotope-producers-radiopharmacies after scroll @regression @content @critical","chromium","2026-07-31","passed","2026-07-31","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11263","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-07-31","failed","2026-07-31","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","11397","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-07-31","failed","2026-07-31","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11814","should navigate through footer links from solutions @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","11300","should expose canonical and social metadata on home @regression","chromium","2026-07-31","failed","2026-07-31","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","305","route contract should hold for /safe-isotope-shipping-class-7-transport @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","10786","should not emit invalid captcha key errors when attempting consultation submission @regression @forms @critical","chromium","2026-07-31","failed","2026-07-31","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","752","should load every image on hospitals-clinical-sites after scroll @regression @content @critical","chromium","2026-07-31","passed","2026-07-31","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11875","should navigate through footer links from isotope-producers-radiopharmacies @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","11301","should expose canonical and social metadata on solutions @regression","chromium","2026-07-31","failed","2026-07-31","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","813","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-07-31","failed","2026-07-31","","regression/pages/home.page.spec.ts","",""
"","11307","should expose canonical and social metadata on about-us @regression","chromium","2026-07-31","failed","2026-07-31","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","273","should resolve every discovered internal route without 4xx/5xx @regression @critical","chromium","2026-07-31","failed","2026-07-31","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","321","route contract should hold for /contact-us @regression @navigation","chromium","2026-07-31","failed","2026-07-31","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","757","should load every image on contact-us after scroll @regression @content @critical","chromium","2026-07-31","passed","2026-07-31","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
