"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","312","route contract should hold for /spectroscopy-scientific-analysis @regression @navigation","chromium","2026-09-18","failed","2026-09-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11291","should navigate through header links from home @regression @navigation @critical","chromium","2026-09-18","failed","2026-09-18","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","773","should load contact us page with correct title and heading @smoke @regression @critical","chromium","2026-09-18","failed","2026-09-18","","regression/pages/contact-us.page.spec.ts","",""
"","769","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-09-18","failed","2026-09-18","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","289","route contract should hold for /lab-equipment-accessories @regression @navigation","chromium","2026-09-18","failed","2026-09-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","424","staging root is reachable","chromium","2026-09-18","passed","2026-09-18","Smoke checks @allure.label.epic:Platform @allure.label.feature:Smoke","smoke/home.smoke.spec.ts","",""
"","323","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-09-18","failed","2026-09-18","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11335","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-09-18","failed","2026-09-18","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11778","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-09-18","failed","2026-09-18","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","11239","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-09-18","failed","2026-09-18","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11355","should navigate through header links from contact-us @regression @navigation @critical","chromium","2026-09-18","failed","2026-09-18","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","11315","should resolve known anchor links without broken targets @regression","chromium","2026-09-18","failed","2026-09-18","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
