"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11475","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","12038","should navigate through footer links from about-us @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","388","route contract should hold for /connected-ecosystem @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","356","route contract should hold for / @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11033","should reject invalid email format before submission @regression @forms","chromium","2026-07-29","failed","2026-07-29","Contact form","regression/forms/contact-form.spec.ts","",""
"","742","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","852","should load solutions page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/solutions.page.spec.ts","",""
"","375","route contract should hold for /hospitals-clinical-sites @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11611","should satisfy baseline accessibility checks on home @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11965","should navigate through footer links from hospitals-clinical-sites @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","845","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","11428","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","10978","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-07-29","failed","2026-07-29","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","766","should load every image on solutions after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3774","should resolve documented external links or mark bot-blocked statuses @regression @critical","chromium","2026-07-29","passed","2026-07-29","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","11994","should navigate through footer links from isotope-producers-radiopharmacies @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","11450","solutions hub should route to hospitals-clinical-sites persona page @regression @critical @navigation","chromium","2026-07-29","failed","2026-07-29","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","11483","should navigate through header links from drug-owners-developers @regression @navigation @critical","chromium","2026-07-29","failed","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","370","route contract should hold for /radiation-shielding-safety-systems @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","279","should resolve every discovered internal route without 4xx/5xx @regression @critical","chromium","2026-07-29","failed","2026-07-29","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","12017","should navigate through footer links from home @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","818","should load every image on hospitals-clinical-sites after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","63556","should return to home when clicking site logo @regression @navigation","chromium","2026-07-29","broken","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","10983","should keep identity fields isolated while users fill contact data @regression @forms","chromium","2026-07-29","failed","2026-07-29","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","11540","should navigate through header links from hospitals-clinical-sites @regression @navigation @critical","chromium","2026-07-29","failed","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","11974","should navigate through footer links from contact-us @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","382","route contract should hold for /spectroscopy-scientific-analysis @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11498","should expose canonical and social metadata on solutions @regression","chromium","2026-07-29","failed","2026-07-29","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","378","route contract should hold for /radiation-monitoring-and-dosimetry @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","395","route contract should hold for /precise-assays-and-calibration @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","358","route contract should hold for /transparency-data-visibility-platforms @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","846","should load drug owners developers page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/drug-owners-developers.page.spec.ts","",""
"","343","route contract should hold for /drug-owners-developers @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","848","should load isotope producers radiopharmacies page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/isotope-producers-radiopharmacies.page.spec.ts","",""
"","746","should load every image on about-us after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11451","should navigate through header links from contact-us @regression @navigation @critical","chromium","2026-07-29","failed","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","393","route contract should hold for /shielding-shipping-waste-management @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","867","should load contact us page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/contact-us.page.spec.ts","",""
"","11047","should enforce required-field validation on contact form @regression @forms @critical","chromium","2026-07-29","failed","2026-07-29","Contact form","regression/forms/contact-form.spec.ts","",""
"","11421","home CTA should route users to solutions hub @regression @critical @navigation","chromium","2026-07-29","failed","2026-07-29","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","11436","should navigate through header links from about-us @regression @navigation @critical","chromium","2026-07-29","failed","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","766","should load every image on contact-us after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11534","solutions hub should route to drug-owners-developers persona page @regression @critical @navigation","chromium","2026-07-29","failed","2026-07-29","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","760","should load every image on isotope-producers-radiopharmacies after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11530","should expose canonical and social metadata on home @regression","chromium","2026-07-29","failed","2026-07-29","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","835","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-07-29","failed","2026-07-29","","regression/pages/home.page.spec.ts","",""
"","11459","should resolve known anchor links without broken targets @regression","chromium","2026-07-29","failed","2026-07-29","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","12082","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","395","route contract should hold for /manufacturing-compliance @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11484","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","838","should load every image on home after scroll @regression @content @critical","chromium","2026-07-29","passed","2026-07-29","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11518","should navigate through header links from home @regression @navigation @critical","chromium","2026-07-29","failed","2026-07-29","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","352","route contract should hold for /lab-equipment-accessories @regression @navigation","chromium","2026-07-29","failed","2026-07-29","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11592","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11489","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-07-29","failed","2026-07-29","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
