"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","route contract should hold for /safe-isotope-shipping-class-7-transport @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","737","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-09-26","failed","2026-09-26","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","10544","should expose a stable required-field contract on the primary contact form @regression @forms @critical","chromium","2026-09-26","failed","2026-09-26","Contact form live integration","regression/forms/contact-form-live-integration.spec.ts","",""
"","10643","should reject invalid email format before submission @regression @forms","chromium","2026-09-26","failed","2026-09-26","Contact form","regression/forms/contact-form.spec.ts","",""
"","11083","solutions hub should route to hospitals-clinical-sites persona page @regression @critical @navigation","chromium","2026-09-26","failed","2026-09-26","Solutions critical funnel","regression/critical-paths/solutions-critical-funnel.spec.ts","",""
"","11097","should navigate through header links from solutions @regression @navigation @critical","chromium","2026-09-26","failed","2026-09-26","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","11622","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","11065","should satisfy baseline accessibility checks on isotope-producers-radiopharmacies @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11101","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","662","should load every image on contact-us after scroll @regression @content @critical","chromium","2026-09-26","passed","2026-09-26","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","262","route contract should hold for /shielding-shipping-waste-management @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11093","should expose canonical and social metadata on about-us @regression","chromium","2026-09-26","failed","2026-09-26","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","62098","should return to home when clicking site logo @regression @navigation","chromium","2026-09-26","broken","2026-09-26","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","669","route contract should hold for /solutions @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","11086","should navigate through header links from contact-us @regression @navigation @critical","chromium","2026-09-26","failed","2026-09-26","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","11072","should navigate through header links from home @regression @navigation @critical","chromium","2026-09-26","failed","2026-09-26","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","777","should load contact us page with correct title and heading @smoke @regression @critical","chromium","2026-09-26","failed","2026-09-26","","regression/pages/contact-us.page.spec.ts","",""
"","11116","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","701","should load every image on home after scroll @regression @content @critical","chromium","2026-09-26","passed","2026-09-26","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11080","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-09-26","failed","2026-09-26","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","288","route contract should hold for /health-physics-radiation-protection @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","243","route contract should hold for /management-platform @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","754","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-09-26","failed","2026-09-26","","regression/pages/home.page.spec.ts","",""
"","11146","should satisfy baseline accessibility checks on hospitals-clinical-sites @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11057","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-09-26","failed","2026-09-26","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","745","should load drug owners developers page with correct title and heading @smoke @regression @critical","chromium","2026-09-26","failed","2026-09-26","","regression/pages/drug-owners-developers.page.spec.ts","",""
"","233","route contract should hold for /hospitals-clinical-sites @regression @navigation","chromium","2026-09-26","failed","2026-09-26","Route depth coverage","regression/critical-paths/route-depth.spec.ts","",""
"","693","should load every image on drug-owners-developers after scroll @regression @content @critical","chromium","2026-09-26","passed","2026-09-26","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","706","should load every image on about-us after scroll @regression @content @critical","chromium","2026-09-26","passed","2026-09-26","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","11252","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","11046","should expose canonical and social metadata on home @regression","chromium","2026-09-26","failed","2026-09-26","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","11128","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-09-26","failed","2026-09-26","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
